I have a special request for my flight.	NewBooking_SpecialRequests
Can I request a window seat?	NewBooking_SpecialRequests
I need a vegetarian meal on my flight.	NewBooking_SpecialRequests
Please arrange for wheelchair assistance.	NewBooking_SpecialRequests
I'd like to request extra legroom.	NewBooking_SpecialRequests
Can you help with a special request for my hotel?	NewBooking_SpecialRequests
I need a late check-out for my hotel booking.	NewBooking_SpecialRequests
Please arrange a car seat for my rental car.	NewBooking_SpecialRequests
I have a special request for my package deal.	NewBooking_SpecialRequests
Can I request a specific room type?	NewBooking_SpecialRequests
I need a room with a balcony.	NewBooking_SpecialRequests
Can you arrange a late check-out for me?	NewBooking_SpecialRequests
I'd like to request a baby crib in my hotel room.	NewBooking_SpecialRequests
Please ensure my flight has a meal included.	NewBooking_SpecialRequests
Arrange for a ground transportation service at my hotel.	NewBooking_SpecialRequests
Can you get me a seat next to the window?	NewBooking_SpecialRequests
I need special accommodations for my car rental.	NewBooking_SpecialRequests
Please add a sports equipment rack to my car hire.	NewBooking_SpecialRequests
I'd like to request a quiet room in the hotel.	NewBooking_SpecialRequests
Ensure my flight has wheelchair assistance.	NewBooking_SpecialRequests
Could you provide me with an aisle seat?	NewBooking_SpecialRequests
I'd like a non-smoking room at the hotel.	NewBooking_SpecialRequests
Is it possible to have early check-in for my room?	NewBooking_SpecialRequests
Please include a child’s booster seat with my rental car.	NewBooking_SpecialRequests
I require a Kosher meal on my flight.	NewBooking_SpecialRequests
Make sure I have extra pillows in my hotel room.	NewBooking_SpecialRequests
Can you arrange a wake-up call service for me?	NewBooking_SpecialRequests
I’d like a hotel room on a high floor with a city view.	NewBooking_SpecialRequests
Please seat me near the front of the aircraft.	NewBooking_SpecialRequests
Could I get a room close to the elevator?	NewBooking_SpecialRequests
I need priority boarding on my flight.	NewBooking_SpecialRequests
Ensure the rental car has GPS navigation.	NewBooking_SpecialRequests
Can I have vegan meal options on this flight?	NewBooking_SpecialRequests
Please give me a hotel room far from any construction noise.	NewBooking_SpecialRequests
I’d like a hypoallergenic pillow in my hotel room.	NewBooking_SpecialRequests
